"Site.No","SJAS.No","ENM.No","Site.Name","Room..","Box..","Level.Info","FS.No","Lot.No","Cat.No","Refire.txt","INAA.txt","Petrography.txt","Photography.txt","Vessel.Form","Vessel.Part","Wall.Thickness","Rim.Radius","Rim.Arc","Rim.Eversion","Exterior.Pigment","Interior.Pigment","Exterior.Surface","Interior.Surface","Vessel.Appendage","Use.Wear.Residue","Retooling.Modification","Temper","Paste","Slip","Tradition","Variety","Ware","SPECTYPT","Style","Count","Weight","Vessel.No","Comments"
"ENM 5066, 5067","None","ENM 5066, 5067","Mine Canyon","","401","Special Collection #8",313,12,10,"yes","No","No","No","Jar","Body",0,0,0,0,"Organic","None","Slipped and painted","Plain","None","None","None","Crushed igneous rock and sherd","Animas Var. Light","Thick - chalky","Northern San Juan","Animas","White","Mancos Black-on-white","Mancos",1,18,NA,""
"ENM 5066, 5067","None","ENM 5066, 5067","Mine Canyon","","401","Special Collection #8",313,13,0,"No","No","No","No","Bowl","Body",4.4,0,0,0,"None","Mineral","Slipped","Slipped and painted","None","Sooting (both surfaces)","None","Crushed igneous rock and sherd","Trade Ware","Thick - chalky","Northern San Juan","Trade Ware","White","Mancos Black-on-white","Mancos",2,16.8,NA,"vitrified"
"ENM 5066, 5067","None","ENM 5066, 5067","Mine Canyon","","401","Special Collection #8",313,16,0,"No","No","No","No","Jar","Body",0,0,0,0,"Organic","None","Slipped and painted","Plain","None","Sooting (exterior)","None","Crushed igneous rock and sherd","Animas Var. Light","Thick - chalky","Northern San Juan","Animas","White","Mancos Black-on-white","Reserve",1,24.6,NA,""
"ENM 5066, 5067","None","ENM 5066, 5067","Mine Canyon","","401","Special Collection #8",313,17,0,"No","No","No","No","Ladle","Rim",0,4,36,0,"None","Mineral/Organic","Slipped","Slipped and painted","None","None","None","Augite Diorite and sherd","Animas Var. Light","Thick - crackly","Northern San Juan","Animas","White","Mancos Black-on-white","Puerco",1,13.1,NA,""
"ENM 5066, 5067","None","ENM 5066, 5067","Mine Canyon","","401","Special Collection #8",313,19,12,"yes","No","No","No","Bowl","Body",5.9,0,0,0,"None","Mineral","Slipped","Slipped and painted","None","None","None","Augite Diorite and sherd","Animas Var. Dark","Thick - chalky","Northern San Juan","Animas","White","Mancos Black-on-white","Puerco",1,17.7,NA,""
"ENM 5066, 5067","None","ENM 5066, 5067","Mine Canyon","","401","Special Collection #8",313,22,0,"No","No","No","No","Bowl","Body",4.4,0,0,0,"None","Mineral","Slipped","Slipped and painted","None","None","None","Crushed igneous rock","Trade Ware","Thin","Northern San Juan","Trade Ware","White","Mancos Black-on-white","Sosi",1,13.1,NA,"vitrified"
"ENM 5066, 5067","None","ENM 5066, 5067","Mine Canyon","","401","Special Collection #8",313,23,0,"No","No","No","No","Bowl","Rim",5.8,0,0,0,"None","Mineral","Slipped","Slipped and painted","None","None","None","Augite Diorite and sand","Animas Var. Light","Thick - chalky","Northern San Juan","Animas","White","Mancos Black-on-white","Sosi",1,22.5,NA,""
"ENM 5066, 5067","None","ENM 5066, 5067","Mine Canyon","","401","Special Collection #8",313,24,13,"yes","No","No","No","Bowl","Body",5.1,0,0,0,"None","Mineral","Slipped","Slipped and painted","None","None","None","Augite Diorite and sherd","Animas Var. Light","Thick - chalky","Northern San Juan","Animas","White","Mancos Black-on-white","Sosi",1,11.7,NA,""
"ENM 5066, 5067","None","ENM 5066, 5067","Mine Canyon","","401","Special Collection #8",313,25,0,"No","No","No","No","Pitcher","Body",0,0,0,0,"Mineral","None","Slipped and painted","Plain","None","None","None","Augite Diorite and sherd","Animas Var. Dark","Thick - chalky","Northern San Juan","Animas","White","Mancos Black-on-white","Sosi",1,15.8,NA,"vitrified"
"ENM 5066, 5067","None","ENM 5066, 5067","Mine Canyon","","401","Special Collection #8",313,26,0,"No","No","No","No","Bowl","Base",5.1,0,0,0,"None","Mineral","Plain","Slipped and painted","None","None","None","Crushed igneous rock and sand","Trade Ware","Thin","Northern San Juan","Trade Ware","White","Mancos Black-on-white","Sosi",1,32.2,NA,"vitrified"
"ENM 5066, 5067","None","ENM 5066, 5067","Mine Canyon","","401","Special Collection #8",313,39,0,"No","No","No","No","Olla","Body",0,0,0,0,"Mineral","None","Slipped and painted","Plain","Strap","None","None","Diorite Porphyry and sherd","Trade Ware","Thick - chalky","Northern San Juan","Trade Ware","White","Mancos Black-on-white","Dogoszhi",2,18.9,NA,"refit"
