"","SWSN_ID","Site","Type","unapportioned","P800","P825","P850","P875","P900","P925","P950","P975","P1000","P1025","P1050","P1075","P1100","P1125","P1150","P1175","P1200","P1225","P1250","P1275"
"1",665,"Aragon","Cibola White Ware, Undifferentiated",0,0,0,0,0,0,0,0,0,0,0,0.7895,0.7199,0.6462,0.5709,0.4952,0.4229,0.3554,0,0,0
"2",665,"Aragon","Mogollon Corrugated Brown Ware, Undifferentiated",0,0,0,0,0,0,0,0,0,0,0,0.1503,0.1546,0.1546,0.1503,0.1423,0.1309,0.1171,0,0,0
"3",665,"Aragon","Mogollon Indented Corrugated Brown Ware",0,0,0,0,0,0,0,0,0,0,0,0.1461,0.1993,0.2556,0.308,0.3488,0.3711,0.3711,0,0,0
"4",665,"Aragon","Mogollon Patterned Corrugated Brown Ware, Smudged",0,0,0,0,0,0,0,0,0,0,0,0.073,0.0997,0.1278,0.154,0.1744,0.1856,0.1856,0,0,0
"5",665,"Aragon","Mogollon Plain Brown Ware",0,0,0,0,0,0,0,0,0,0,0,0.1828,0.1697,0.1562,0.1427,0.1292,0.1161,0.1034,0,0,0
"6",665,"Aragon","Mogollon Plain Corrugated Brown Ware",0,0,0,0,0,0,0,0,0,0,0,0.1214,0.1368,0.1482,0.1542,0.1542,0.1482,0.1368,0,0,0
"7",665,"Aragon","Mogollon Plain Corrugated Brown Ware, Smudged",0,0,0,0,0,0,0,0,0,0,0,0.1214,0.1368,0.1482,0.1542,0.1542,0.1482,0.1368,0,0,0
"13",665,"Aragon","Tularosa Fillet Rim",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2686,0.5051,0.8112,1.1124,1.3026,0,0,0
"16",708,"Aztec","Aztec Black",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332,0.834,0.834,0
"19",708,"Aztec","Blue Shale Corrugated",0,0,0,0,0,0,0,0,0,0,0,1.6397,1.2249,0.7537,0.3817,0,0,0,0,0,0
"29",708,"Aztec","Corrugated Gray Ware, Undifferentiated",0,0,0,0,0,0,0,0,0,0,0,481.7836,495.6183,495.6183,481.7836,456.0825,419.6901,375.4303,327.0522,276.9412,0
"34",708,"Aztec","Dolores Corrugated",0,0,0,0,0,0,0,0,0,0,0,0,0,0.4272,1.0728,1.0728,0.4272,0,0,0,0
"38",708,"Aztec","Hunter Corrugated",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0968,0.2018,0.3293,0.4206,0.4206,0.3293,0.2018,0
"41",708,"Aztec","Mancos Corrugated",0,0,0,0,0,0,0,0,0,0,0,0.3137,0.2711,0.2024,0.1306,0.0728,0.0094,0,0,0,0
"42",708,"Aztec","Mancos Gray",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"47",708,"Aztec","Mesa Verde Corrugated Gray Ware, Undifferentiated",0,0,0,0,0,0,0,0,0,0,0,0.296,0.3195,0.3195,0.296,0.2538,0.2017,0.1484,0.1012,0.0639,0
"49",708,"Aztec","Mogollon Patterned Corrugated Brown Ware",0,0,0,0,0,0,0,0,0,0,0,0.1099,0.15,0.1924,0.2319,0.2626,0.2794,0.2794,0.2626,0.2319,0
"50",708,"Aztec","Mogollon Plain Brown Ware, Smudged",0,0,0,0,0,0,0,0,0,0,0,0.312,0.2897,0.2667,0.2436,0.2206,0.1981,0.1765,0.1559,0.1368,0
"51",708,"Aztec","Mudware, Undifferentiated",0,0,0,0,0,0,0,0,0,0,0,0.3113,0.2903,0.268,0.2449,0.2216,0.1986,0.1761,0.1547,0.1345,0
"53",708,"Aztec","PII Gray Rim, Type Undifferentiated",0,0,0,0,0,0,0,0,0,0,0,16.2198,7.7802,0,0,0,0,0,0,0,0
"54",708,"Aztec","PII/PIII Gray Rim, Type Undifferentiated",0,0,0,0,0,0,0,0,0,0,0,23.6375,25.1538,25.1538,23.6375,20.8735,17.3216,13.5076,9.8984,6.8163,0
"55",708,"Aztec","PIII Gray Rim, Type Undifferentiated",0,0,0,0,0,0,0,0,0,0,0,0,0,0.7259,1.5132,2.4694,3.1544,3.1544,2.4694,1.5132,0
"56",708,"Aztec","Plain Brown Smudged, Undifferentiated",0,0,0,0,0,0,0,0,0,0,0,0.1466,0.139,0.1303,0.1212,0.1118,0.102,0.0925,0.0828,0.0736,0
"57",708,"Aztec","Plain Brown Ware, Undifferentiated",0,0,0,0,0,0,0,0,0,0,0,4.3989,4.1704,3.9099,3.6366,3.3552,3.0612,2.7736,2.4851,2.209,0
"58",708,"Aztec","Plain Gray Ware, Undifferentiated",0,0,0,0,0,0,0,0,0,0,0,32.1453,28.819,25.4368,22.1039,18.9103,15.9277,13.2077,10.7827,8.6666,0
"65",708,"Aztec","Showlow Red",0,0,0,0,0,0,0,0,0,0,0,45.0597,17.9403,0,0,0,0,0,0,0,0
"76",708,"Aztec","Tularosa Fillet Rim",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0837,0.1575,0.2529,0.3468,0.4061,0.4061,0.3468,0
"84",708,"Aztec","Woodruff Smudged",0,0,0,0,0,0,0,0,0,0,0,6.3302,4.6698,0,0,0,0,0,0,0,0
"91",720,"Pueblo Pintado","Chuska Indented Corrugated Gray",0,0,0,0,0,0,0,0,0,0,0.4159,1.697,2.9563,4.4506,5.7894,6.5073,6.32,5.3048,3.8454,2.4092,1.3042
"93",720,"Pueblo Pintado","Cibola Black-on-white, Undifferentiated",0,0,0,0,0,0,0,0,0,34.3817,32.4386,30.1233,27.4692,24.6561,21.7821,18.8964,16.1361,13.5616,11.1924,9.0926,7.27
"94",720,"Pueblo Pintado","Cibola Indented Corrugated Gray",0,0,0,0,0,0,0,0,0,0,1.0178,3.6637,5.7155,8.2547,11.0503,13.6965,15.7234,16.7179,16.4576,15.0166,12.6858
"95",720,"Pueblo Pintado","Cibola Neckbanded Gray",0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
"96",720,"Pueblo Pintado","Cibola Plain Gray",0,0,0,0,0,0,0,0,0,65.8819,29.1181,0,0,0,0,0,0,0,0,0,0
"97",720,"Pueblo Pintado","Cibola White Ware, Undifferentiated",0,0,0,0,0,0,0,0,0,38.2792,36.1159,33.538,30.5832,27.4511,24.2513,21.0385,17.9653,15.0989,12.4612,10.1233,8.0941
"98",720,"Pueblo Pintado","Corrugated Gray Ware, Undifferentiated",0,0,0,0,0,0,0,0,0,31.6876,34.4354,36.3759,37.4204,37.4204,36.3759,34.4354,31.6876,28.3459,24.6933,20.9097,17.2125
