"","SWSN_ID","Site","All","Dogoszhi","Mancos"
"1","665","Aragon","4.661","0","0"
"2","708","Aztec","2509.8079","358.6307","220.1354"
"3","720","Pueblo Pintado","599.3824","90.3899","7.0246"
"4","727","Morris 39","568.0854","38.0071","33.9437"
"5","728","Holmes Group","359.5297","21.2877","16.3728"
"6","730","Flora Vista","0","0","0"
"7","733","Jaquez","694.157","174.1854","101.6504"
"8","734","Fort Wingate","37.7941","2.3403","0"
"9","735","Newcomb Community","34.6065","4.9842","0"
"10","743","Twin Angels","155.1782","16.5344","0.7987"
"11","745","Lizard House--Cebolleta Mesa","0","0","0"
"12","750","Skunk Springs","127.7863","45.8939","0"
"13","754","Crumbled House","19.4368","1.688","0"
"14","811","LA 8240","68.5404","29.4894","0"
"15","824","Salmon","48585.7584","32932.9036","9398.5881"
"16","903","Kello Blancett","44.373","1.0844","1.0844"
"17","906","Morris' Old Fort","0","0","0"
"18","964","Hinkson Ranch","0","0","0"
"19","971","Kin Cheops II","19.2756","0","0"
"20","977","Eagle Crag","44.1543","2.3174","0"
"21","989","Kinlichee","272.5797","45.5326","0"
"22","994","Cornfields","0","0","0"
"23","1098","Tom's Rock","19.8339","0","0"
"24","1099","Goesling","0","0","0"
"25","1103","Hubble Corner","0","0","0"
"26","1239","Bean Patch","0","0","0"
"27","1240","Garcia Ranch","0","0","0"
"28","1244","Carter Ranch Pueblo","0","0","0"
"29","1256","Seven Springs","72.8247","0.4814","0"
"30","1288","Village of the Great Kivas","76.1772","1.343","0"
"31","1307","Fenced Up Horse Canyon","6.7223","0","0"
"32","1314","Los Gigantes","0","0","0"
"33","1316","Spier 81","96.9823","0.5627","0"
"34","1365","Wupatki","4615.6943","145.1141","0"
"35","1368","Lukachukai GH","32.2464","5.1786","0"
"36","1373","Antelope House","500.7271","56.2468","7.5908"
"37","1376","White House","153.0233","24.4517","1.2396"
"38","1377","Salina Springs","11.4499","1.6925","0"
"39","1394","Ridge Ruin","15169.9628","217.4487","0"
"40","1531","Burnt Corn GH","88.3304","0.1214","0"
"41","1618","Castle Rock Pueblo","0","0","0"
"42","1935","Morris 41","1776.8323","67.7667","59.9007"
"43","1942","Cerro Prieto--Quemado","54.0704","1.0922","0"
"44","1946","Twin Towers","730.977","113.1827","95.4282"
"45","1967","Atsee Nitsaa","49.6904","0","0"
"46","1988","Cox Ranch","9877.3266","321.1068","0"
"47","1989","Largo Gap","2861.4583","0","0"
"48","2512","Tsintaa Yitilii","27.0545","1.1253","0"
"49","2542","Plaza Site","2419.1695","0","0"
"50","2602","Dancing Rock GH","14.6946","2.551","0"
"51","2790","Sterling ","7.3664","1.0922","0"
"52","2856","South Ruin","0","0","0"
"53","2982","FSOP02 Great Kiva","0","0","0"
"54","2997","Casa Mosca","0","0","0"
"55","2999","Dittert Ranch","15.1084","0","0"
"56","3000","LA 102391","42.774","0.5627","0"
"57","3001","LA 11670","20.3472","1.6383","0"
"58","3002","Las Ventanas","238.8935","4.9149","0"
"59","3004","5 Acre Ruin","27.3324","20.0616","20.0616"
"60","3005","Albert Porter","11793.3614","1221.9762","1221.9762"
"61","3006","Allentown","15.7985","1.6881","0"
"62","3007","Andrews","258.6268","27.7216","0"
"63","3009","Ansell Hall","472.6328","148.736","148.5643"
"64","3017","Arch Canyon","15.8792","0.1758","0"
"65","3020","AZ P:11:124 (ASU)","53.5372","0","0"
"66","3021","AZ P:11:130 (ASU)","37.8469","0.2551","0"
"67","3022","AZ P:11:55 (ASU)","14.1398","0","0"
"68","3023","AZ P:11:57 (ASU)","50.6004","0","0"
"69","3024","AZ P:12:105 (ASU)","87.2693","0.5102","0"
"70","3026","AZ P:12:404 (ASM)","0","0","0"
"71","3027","AZ P:12:76 (ASU)","48.4767","0.2551","0"
"72","3028","AZ P:12:99 (ASU)","101.0443","0","0"
"73","3030","AZ P:16:160 (ASM)","224.6283","0","0"
"74","3033","AZ Q:3:64 (ASM)","0","0","0"
"75","3035","Bad Dog Ridge","27.6906","15.7924","0"
"76","3039","Bancos Village","0","0","0"
"77","3040","Bee Burrow","61.3208","6.0071","0"
"78","3044","Bis'saani East","2174.4507","246.056","135.1206"
"79","3045","Bis'saani West","211.8626","13.573","3.7432"
"80","3046","Black Creek Flat","7.2429","2.1844","0"
"81","3047","Black Mesa Ruin","169.5015","27.9003","26.0259"
"82","3048","Blackrock Gaddy","52.4356","8.4322","0"
"83","3049","Blue J","213.7892","124.6767","1.3228"
"84","3051","Bluewater Spring","3668.5705","339.6742","0"
"85","3052","Bluff Great House","3457.3468","447.87","327.0584"
"86","3053","Bluff Bench Great Kiva","0","0","0"
"87","3056","Carhart Ruin","517.8627","60.6995","60.6995"
"88","3057","Carol's Ruin","41.5038","1.2756","1.2756"
"89","3059","Casa Abajo","85.558","4.3688","0"
"90","3061","Casa Cielo","150.7296","17.4105","0"
"91","3062","Casa del Rio","543.8157","92.1237","0.4252"
"92","3063","Casa Escondida","224.2847","22.0664","0"
"93","3064","Casa Estrella","37.3369","4.7854","0"
"94","3065","Casa Negra","149.8339","18.7689","18.7689"
"95","3066","Casa Patricio","17.9253","4.3688","0"
"96","3067","Casa Rinconada","38.0888","4.7217","0.5422"
"97","3068","Casamero","102.8251","23.723","0"
"98","3069","Cerro Pomo","2835.7488","0","0"
"99","3070","Chaco East","175.6986","53.3701","0.4132"
"100","3071","Chacra Mesa Great Kiva","199.3437","35.3544","8.2643"
"101","3072","Chambers Great House","42.1628","3.5173","0"
"102","3073","Chetro Ketl","613.4212","205.2343","25.8163"
"103","3074","Chimney Rock","526.0975","109.0606","90.8183"
"104","3075","Church Rock","17.0555","4.3688","0"
"105","3076","Cline Point","1587.1657","10.922","0"
"106","3078","Coalbed Village","43.0993","22.7267","22.7267"
"107","3081","Coolidge","30.5589","6.0071","0"
"108","3083","Cothruns","2215.5098","3.2766","0"
"109","3084","Cottonwood Falls","957.4576","0.2343","0"
"110","3086","Coyotes Sing Here","63.5861","25.6667","0"
"111","3087","CS219","10.8115","0","0"
"112","3088","CS689","27.823","0.5461","0"
"113","3089","Cuatro Payasos","183.5555","70.9854","2.0092"
"114","3090","Dalton Pass","41.7","6.0071","0"
"115","3091","Danson 202","7.1184","0","0"
"116","3093","Deer Springs","70.0632","10.922","0"
"117","3096","Dzil Nda Kai","20.6289","8.6081","0"
"118","3097","Edge of the Cedars","3975.1512","602.4807","573.1145"
"119","3098","El Malpais","164.6209","31.8637","16.5286"
"120","3099","El Rito","15.4328","3.9932","0"
"121","3101","Escalon A","134.5841","18.1571","0"
"122","3102","Escalon B","22.0113","5.4146","0"
"123","3103","Et Al Site","315.8308","37.2255","34.159"
"124","3104","Fajada Gap Great Kiva","23.0616","2.7305","0"
"125","3106","Figueredo","63.6474","20.8415","0"
"126","3107","Fort Defiance--Thunder Ridge","2.8566","0","0"
"127","3109","Ganado","411.4058","94.1419","0"
"128","3111","Garcia Ranch Bench","0","0","0"
"129","3114","Goodman Point","0","0","0"
"130","3116","Greasewood Flat","0","0","0"
"131","3117","Greasy Hill","29.471","13.0417","0"
"132","3118","Great Bend House A","31.2845","2.9511","0"
"133","3119","Great Bend House B","53.3338","17.0619","0"
"134","3120","Great Bend West","6.8489","3.7379","0"
"135","3123","Greenlee","44.7388","6.1228","0"
