SWSN_ID,SWSN_Site,CSN_macro_group,Mean_Rooms,Size_Class,Size,GH_Count,GK_Count,Dshp_Count,Biwall_Count,Triwall_Count,PubArch,EASTING,NORTHING,long,lat
3371,34-plex Complex,San Juan Foothills,4,1,Small,0,1,0,0,0,1,723220,4127544,-108.48,37.26
3004,5 Acre Ruin,Southeast Utah,100,2,Small,1,2,0,0,0,3,643837,4156903,-109.37,37.54
3005,Albert Porter,San Juan Foothills,80,2,Small,1,1,0,0,0,2,694215,4151766,-108.8,37.49
3006,Allentown,Rio Puerco of the West,110,2,Small,1,1,0,0,0,2,669570,3903409,-109.13,35.26
3007,Andrews,Lobo Mesa/Red Mesa Valley,22,1,Small,1,1,0,0,0,2,771652,3921810,-108,35.4
3353,Andrews Great Kiva NM,Lobo Mesa/Red Mesa Valley,2,1,Small,0,1,0,0,0,1,772070,3921210,-108,35.39
3009,Ansell Hall,San Juan Foothills,200,2,Small,1,1,0,0,0,2,686737,4167652,-108.88,37.63
1373,Antelope House,Upper Chinle Drainage,100,2,Small,1,0,0,0,0,1,639851,4002395,-109.44,36.15
665,Aragon,,,,,0,1,0,0,0,1,726518,3751658,-108.55,33.88
3017,Arch Canyon,Southeast Utah,50,1,Small,1,1,0,0,0,2,617343,4156353,-109.67,37.54
1967,Atsee Nitsaa,Rio Puerco of the West,50,1,Small,1,1,0,0,0,2,684727,3918160,-108.96,35.39
3020,AZ P:11:124 (ASU),Silver Creek,45,1,Small,0,1,0,0,0,1,585200,3809300,-110.07,34.42
3021,AZ P:11:130 (ASU),Silver Creek,50,1,Small,0,1,0,0,0,1,581000,3807500,-110.11,34.4
3022,AZ P:11:55 (ASU),Silver Creek,15,1,Small,0,1,0,0,0,1,565977,3796340,-110.28,34.3
3023,AZ P:11:57 (ASU),Silver Creek,40,1,Small,0,1,0,0,0,1,566858,3799360,-110.27,34.33
3024,AZ P:12:105 (ASU),Silver Creek,30,1,Small,0,1,0,0,0,1,577836,3815000,-110.15,34.47
3026,AZ P:12:404 (ASM),Silver Creek,,,,0,1,0,0,0,1,576895,3814555,-110.16,34.47
3027,AZ P:12:76 (ASU),Silver Creek,30,1,Small,0,1,0,0,0,1,577036,3814100,-110.16,34.46
3028,AZ P:12:99 (ASU),Silver Creek,65,1,Small,0,1,0,0,0,1,576186,3814500,-110.17,34.47
3030,AZ P:16:160 (ASM),Silver Creek,12,1,Small,0,1,0,0,0,1,579747,3787859,-110.13,34.23
3033,AZ Q:3:64 (ASM),Hardscrabble/ULC,,,,0,1,0,0,0,1,647186,3849200,-109.39,34.77
3350,AZ-P-52-8-NN,Rio Puerco of the West,8,1,Small,1,0,0,0,0,1,634760,3889090,-109.52,35.13
708,Aztec,Middle San Juan,750,4,Big,3,3,0,2,3,4+,767672,4080788,-107.99,36.83
3399,Aztec North,Middle San Juan,15,1,Small,1,2,0,0,0,3,767472,4081316,-108,36.84
3035,Bad Dog Ridge,Defiance Plateau,15,1,Small,1,1,0,0,0,2,635497,3925270,-109.5,35.46
3039,Bancos Village,Middle San Juan,17,1,Small,0,1,0,0,0,1,816369,4091573,-107.44,36.91
3360,Bass Complex,San Juan Foothills,180,2,Small,1,0,0,0,0,1,692085,4150790,-108.82,37.48
3419,Battleship Rock Pueblo,San Juan Foothills,11,1,Small,0,1,0,0,0,1,,,,
