,OBJECTID,SWSN_Type,SWSN_Ware,Dogozshi,Include,Decoration,Red_slipped,Corrugated,Start_Date,End_Date,Chronology,Chronology2,Plus,References_,Comments,Smudged
3,1689,"Acoma Glaze Ware, Undifferentiated",Acoma Glaze Ware,0,1,polychrome,0,0,1300,1700,1,1,0,,,0
21,1685,Alpha Glaze,Acoma Glaze Ware,0,1,polychrome,0,0,1300,1450,1,1,0,,,0
56,1686,Beta Glaze,Acoma Glaze Ware,0,1,polychrome,0,0,1400,1470,1,1,0,,,0
246,1688,Delta Glaze,Acoma Glaze Ware,0,1,polychrome,0,0,1560,1700,1,1,0,,,0
306,1687,Gamma Glaze,Acoma Glaze Ware,0,1,polychrome,0,0,1450,1525,1,1,0,,,0
4,1690,"Acoma Matte Paint, Undifferentiated",Acoma Matte Paint,0,1,undifferentiated dec,0,0,1700,1900,1,1,0,,,0
5,3,Acoma Polychrome,Acoma Matte Paint,0,1,polychrome,0,0,1890,1900,1,1,1,Harlow 1973,,NA
6,4,Acomita Polychrome,Acoma Matte Paint,0,1,polychrome,0,0,1750,1850,1,1,0,Dittert and Plog 1980,,NA
9,6,Ako Polychrome,Acoma Matte Paint,0,1,polychrome,0,0,1700,1750,1,1,0,Dittert and Plog 1980,,NA
535,157,McCartys Polychrome,Acoma Matte Paint,0,1,polychrome,0,0,1850,1875,1,1,0,Dittert and Plog 1980,,NA
984,519,Sunset White-on-Red,Alameda Brown Ware,0,1,bichrome,0,0,1065,1200,1,1,0,Colton 1958,,NA
1073,294,Turkey Hill White-on-red,Alameda Brown Ware,0,1,bichrome,1,0,1100,1200,1,1,0,Colton 1958; Downum 1988,,NA
1105,524,Tuzigoot Red-on-black,Alameda Brown Ware,0,1,bichrome,0,0,1300,1425,1,1,0,Colton and Hargrave 1937,,NA
1106,520,Tuzigoot White-on-Red,Alameda Brown Ware,0,1,bichrome,1,0,1300,1425,1,1,0,Colton 1958,,NA
43,15,Babacomari Bichrome,Babacomari Series,0,1,bichrome,0,0,700,1300,1,1,0,Jones 1996:52,,NA
44,16,Babacomari Polychrome,Babacomari Series,0,1,polychrome,0,0,1250,1450,1,1,0,Di Peso 1951,,NA
23,1203,Anchondo Red-on-brown,Chihuahuan Brown Ware,0,1,bichrome,0,0,600,1200,1,0,0,,,0
482,1208,Leal Red-on-brown,Chihuahuan Brown Ware,0,1,bichrome,0,0,600,1200,1,0,NA,,,0
526,1205,Mata polychrome,Chihuahuan Brown Ware,0,1,polychrome,0,0,NA,NA,0,0,NA,,,0
527,1209,Mata Red-on-brown,Chihuahuan Brown Ware,0,1,bichrome,0,0,600,1200,1,0,NA,,,0
700,1206,Pilon Red-on-brown,Chihuahuan Brown Ware,0,1,bichrome,0,0,600,1200,1,0,NA,,,0
701,1204,Pilon/Fernando Red-on-brown,Chihuahuan Brown Ware,0,1,bichrome,0,0,600,1200,1,0,NA,,,0
1128,1207,Victoria Red-on-brown,Chihuahuan Brown Ware,0,1,bichrome,0,0,600,1200,1,0,NA,,,0
1129,1210,"Victoria Red-on-brown, Textured",Chihuahuan Brown Ware,0,1,bichrome,0,1,600,1200,1,0,NA,,,0
46,409,Babicora Polychrome,Chihuahuan Series,0,1,polychrome,0,0,1200,1450,1,1,0,Neuzil and Lyons 2008,,NA
96,408,Carretas Polychrome,Chihuahuan Series,0,1,polychrome,0,0,1200,1450,1,1,0,Neuzil and Lyons 2008,Neuzil and Lyons 2008 say most common AD 1250-1350,NA
130,895,"Chihuahuan polychrome, Undifferentiated",Chihuahuan Series,0,1,polychrome,0,0,1200,1450,1,1,NA,,,NA
136,312,"Chihuahuan type, Undifferentiated",Chihuahuan Series,0,1,undifferentiated dec,0,0,1200,1450,1,1,0,,,NA
226,410,Corralitos Polychrome,Chihuahuan Series,0,1,polychrome,0,0,1200,1450,1,1,0,Neuzil and Lyons 2008,,NA
259,411,Dublan Polychrome,Chihuahuan Series,0,1,polychrome,0,0,1200,1450,1,1,0,Neuzil and Lyons 2008,,NA
281,412,Escondida Polychrome,Chihuahuan Series,0,1,polychrome,0,0,1200,1450,1,1,0,,,NA
381,106,Huerigos Polychrome,Chihuahuan Series,0,1,polychrome,0,0,1350,1450,1,1,0,DiPeso 1974,,NA
518,944,Madera Black-on-red,Chihuahuan Series,0,1,bichrome,1,0,1200,1450,1,1,0,OAS Pottery Website,,0
780,218,Ramos Polychrome,Chihuahuan Series,0,1,polychrome,0,0,1200,1450,1,1,0,Hendrickson 2003,,NA
1130,377,Villa Ahumada Polychrome,Chihuahuan Series,0,1,polychrome,0,0,1350,1450,1,1,0,Sayles 1936; DiPeso 1977,,NA
149,759,"Chuska Orange Ware, Undifferentiated",Chuska Orange Ware,0,0,bichrome,1,0,825,875,1,1,0,Windes 1977,,NA
910,758,Sanostee Black-on-red,Chuska Orange Ware,0,1,bichrome,1,0,825,875,1,1,0,Windes 1977,,NA
911,757,Sanostee Red-on-Orange,Chuska Orange Ware,0,1,bichrome,1,0,825,875,1,1,0,Windes 1977,,NA
80,27,Brimhall Black-on-white,Chuska White Ware,1,1,bichrome,0,0,1040,1150,1,1,0,Windes 1977 revised,,NA
81,760,Brimhall/Taylor Black-on-white,Chuska White Ware,0,1,bichrome,0,0,1000,1150,1,1,0,Windes 1977 revised,,NA
85,28,Burnham Black-on-white,Chuska White Ware,0,1,bichrome,0,0,860,1000,1,1,0,Windes 1977,,NA
86,761,Burnham/Newcomb Black-on-white,Chuska White Ware,0,1,bichrome,0,0,860,1000,1,1,0,Windes 1977,,NA
138,48,Chuska Black-on-white,Chuska White Ware,1,1,bichrome,0,0,1040,1125,1,1,0,Windes 1977 revised,,NA
139,762,"Chuska BMIII/PI Black-on-white, Type Undifferentiated",Chuska White Ware,0,0,bichrome,0,0,700,900,1,0,0,,,NA
140,755,"Chuska Carbon Painted White Ware, Undifferentiated",Chuska White Ware,0,0,bichrome,0,0,800,1300,0,0,0,Windes 1977,,NA
145,754,"Chuska Mineral Painted White Ware, Undifferentiated",Chuska White Ware,0,0,bichrome,0,0,800,1300,0,0,0,Windes 1977,,NA
150,763,"Chuska PI/PII Black-on-white, Type Undifferentiated",Chuska White Ware,0,0,bichrome,0,0,700,1100,1,0,0,,,NA
151,834,"Chuska PII Black-on-white, Type Undifferentiated",Chuska White Ware,0,0,bichrome,0,0,900,1100,1,0,0,,,NA
